"Country","State.Region","City","Meetup","Twitter","Email","Facebook","Instagram","LinkedIn","Periscope","Youtube","GitHub","Website","Slack","Current_Organizers","Former_Organizers","Status"
"Worldwide",NA,"Remote","https://www.meetup.com/rladies-remote/","https://twitter.com/rladiesremote","remote@rladies.org",NA,NA,NA,NA,NA,NA,NA,"https://rladies-remote.slack.com","Azadeh Gishani, Katie Lee, Frie Preu, Heather Turner",NA,"Active"
"Algeria",NA,"Algiers","https://www.meetup.com/rladies-Algiers/",NA,"algiers@rladies.org",NA,NA,NA,NA,NA,NA,NA,NA,"Kamila Benadrouche, Lounas Fairouz, Zibani Fazia",NA,"Prospective"
"Argentina",NA,"Jujuy","https://www.meetup.com/es/rladies-jujuy/","https://twitter.com/RLadiesJujuy","jujuy@rladies.org",NA,NA,NA,NA,NA,NA,NA,NA,"Laura Pereyra",NA,"Active"
"Argentina","Buenos Aires","Buenos Aires","https://www.meetup.com/rladies-buenos-aires/","https://twitter.com/RLadiesBA","buenosaires@rladies.org","https://www.facebook.com/RladiesBA/","https://www.instagram.com/rladiesba/",NA,NA,"https://www.youtube.com/channel/UCztAJhENVqsqv0cvyxs4sgg","https://github.com/rladies/meetup-presentations_buenosaires","https://github.com/RLadies-BA",NA,"Monica Alonso, Priscilla Minotti, Jimena Saucedo, Maria Nanton, Jesica Formoso, Virginia García Alonso, Verónica Rojo, Karina Bartolomé, Betsy Cohen",NA,"Active"
"Argentina","Buenos Aires","La Plata","https://www.meetup.com/rladies-la-plata/","https://twitter.com/RLadies_LP","laplata@rladies.org",NA,NA,NA,NA,NA,NA,NA,NA,"Sol Represa, Myrian Aguilar, Daniela Esquivel",NA,"Retired on 04-04-2020"
"Argentina","Chaco-Corrientes","Resistencia-Corrientes","https://www.meetup.com/rladies-resistencia-corrientes/","https://twitter.com/RLadies_rciacte","rciactes@rladies.org","https://www.facebook.com/R-Ladies-Rcia-Ctes",NA,NA,NA,NA,NA,NA,NA,"Patricia Loto, Roxana Noelia Villafa<f1>e",NA,"Active"
"Argentina","C<f3>rdoba","C<f3>rdoba","https://www.meetup.com/rladies-cordoba/","https://twitter.com/RLadiesCba","cordoba@rladies.org","https://www.facebook.com/RLadiesCba",NA,NA,NA,NA,"https://github.com/rladies/meetup-presentations_cordoba",NA,"rladies-cordoba.slack.com","Juliana Benitez, Fernanda Garc<ed>a, Marina Compagnuci",NA,"Active"
"Argentina","La Pampa","General Pico","https://www.meetup.com/rladies-general-pico/","https://twitter.com/RLadiesGP","generalpico@rladies.org",NA,NA,NA,NA,NA,NA,NA,NA,"Marysol Gatti",NA,"Active"
"Argentina","La Pampa","Santa Rosa","https://www.meetup.com/rladies-santa-rosa/","https://twitter.com/RladiesSR","santarosa@rladies.org","https://www.facebook.com/pg/RLadiesSR",NA,NA,NA,NA,"https://github.com/rladies/meetup-presentations_santarosa",NA,NA,"Yanina Bellini Saibene, Marina Cock",NA,"Active"
"Argentina","Mendoza","Mendoza","https://www.meetup.com/rladies-mendoza/","https://twitter.com/RLadiesMza","mendoza@rladies.org","https://www.facebook.com/RLadiesMendoza",NA,NA,NA,NA,"https://github.com/rladies/meetup-presentations_mendoza",NA,NA,"Ana Laura Diedrichs, Jan Strappa, Brenda Canizo",NA,"Active"
