Week,Speaker,Affiliation,Twitter,handle_URL
13-Aug-18,OPEN,OPEN,OPEN,OPEN
20-Aug-18,OPEN,OPEN,OPEN,OPEN
27-Aug-18,OPEN,OPEN,OPEN,OPEN
3-Sep-18,OPEN,OPEN,OPEN,OPEN
10-Sep-18,OPEN,OPEN,OPEN,OPEN
17-Sep-18,OPEN,OPEN,OPEN,OPEN
24-Sep-18,OPEN,OPEN,OPEN,OPEN
1-Oct-18,OPEN,OPEN,OPEN,OPEN
8-Oct-18,OPEN,OPEN,OPEN,OPEN
15-Oct-18,OPEN,OPEN,OPEN,OPEN
22-Oct-18,OPEN,OPEN,OPEN,OPEN
29-Oct-18,OPEN,OPEN,OPEN,OPEN
5-Nov-18,OPEN,OPEN,OPEN,OPEN
12-Nov-18,OPEN,OPEN,OPEN,OPEN
19-Nov-18,OPEN,OPEN,OPEN,OPEN
26-Nov-18,OPEN,OPEN,OPEN,OPEN
3-Dec-18,OPEN,OPEN,OPEN,OPEN
