name, role, start, end, img
Claudia Vitolo, Leadership Team,July 2016,,claudia_vitolo.png
Erin LeDell, Leadership Team,July 2016,,erin_ledell.png
Hannah Frick, Leadership Team,July 2016,,hannah_frick.png
Laura Acion, Leadership Team,July 2016,,laura_acion.png
Athanasia Monika Mowinckel, "Website; YouTube", Oct. 2019,,athanasia_monika_mowinckel.png
Bea Hernández, "Website; Community Slack",2017,,bea_hernández.png
Christin Zasada, Blog,Sept. 2019,,christin_zasada.png
Florencia D’Andrea, "Community Slack; Chapter Mentoring",2018,,florencia_dandrea.png
Jennifer Thompson, Abstract Review System,May 2017,,jennifer_thompson.png
Katherine Simeon, RoCur Twitter Account,July 2019,,katherine_simeon.png
Maëlle Salmon, Global Twitter Account,2017,,maëlle_salmon.png
Nadeja Sero, Chapter Mentoring,May 2020,,nadeja_sero.png
Noa Tamir, CoC Enforcement Support,March 2020,,noa_tamir.png
Page Piccinini, Directory,2017,,page_piccinini.png
Patricia A. Loto, Meetup Pro,May 2020,,patricia_a_loto.png
Saranjeet Kaur Bhogal, Chapter Activity,April 2020,,saranjeet_kaur_bhogal.png
Sheila Saia, Directory,,,sheila_saia.png
Yanina Bellini Saibene, "E-mail Accounts; Community Slack",2018,,yanina_bellini_saibene.png
